qseqid	sseqid	pident	length	evalue	bitscore
sp|O95153|RIMB1_HUMAN	sp|Q12234|RUD3_YEAST	26.111	180	2.11e-06	50.4
sp|O95154|ARK73_HUMAN	sp|P42884|AAD14_YEAST	30.151	199	2.9000000000000004e-21	91.3
sp|O95155|UBE4B_HUMAN	sp|P54860|UFD2_YEAST	30.791	721	1.59e-89	310.0
sp|O95163|ELP1_HUMAN	sp|Q06706|ELP1_YEAST	31.014	690	3.74e-87	309.0
sp|O95202|LETM1_HUMAN	sp|Q08179|MDM38_YEAST	36.695	357	4.77e-65	224.0
sp|O95208|EPN2_HUMAN	sp|P47160|ENT3_YEAST	49.682	157	1.28e-45	165.0
sp|O95214|LERL1_HUMAN	sp|P47111|VPS55_YEAST	35.593	118	1.24e-14	63.9
sp|O95249|GOSR1_HUMAN	sp|P38736|GOSR1_YEAST	27.528	178	7.68e-19	80.5
sp|O95260|ATE1_HUMAN	sp|P16639|ATE1_YEAST	36.81	163	4.0599999999999995e-24	103.0
sp|O95336|6PGL_HUMAN	sp|P38858|SOL3_YEAST	36.1	241	1.07e-42	144.0
sp|O95347|SMC2_HUMAN	sp|P38989|SMC2_YEAST	36.984	1187	0.0	725.0
sp|O95352|ATG7_HUMAN	sp|P38862|ATG7_YEAST	37.679	698	2.73e-140	423.0
sp|O95363|SYFM_HUMAN	sp|P08425|SYFM_YEAST	36.123	454	1.28e-101	309.0
sp|O95372|LYPA2_HUMAN	sp|Q12354|APTH1_YEAST	34.112	214	7.65e-42	140.0
sp|O95373|IPO7_HUMAN	sp|P46970|NMD5_YEAST	25.725	1069	2.61e-76	270.0
sp|O95391|SLU7_HUMAN	sp|Q02775|SLU7_YEAST	26.087	253	3.57e-09	57.0
sp|O95394|AGM1_HUMAN	sp|P38628|AGM1_YEAST	45.351	527	1.54e-137	408.0
sp|O95396|MOCS3_HUMAN	sp|P38820|UBA4_YEAST	38.571	420	2.35e-95	292.0
sp|O95427|PIGN_HUMAN	sp|P36051|MCD4_YEAST	37.823	928	0.0	579.0
sp|O95433|AHSA1_HUMAN	sp|Q12449|AHA1_YEAST	25.634	355	3.33e-30	115.0
sp|O95470|SGPL1_HUMAN	sp|Q05567|SGPL_YEAST	40.12	501	2.53e-124	376.0
sp|O95476|CNEP1_HUMAN	sp|P38757|NEM1_YEAST	42.927	205	6.06e-46	157.0
sp|O95478|NSA2_HUMAN	sp|P40078|NSA2_YEAST	62.069	261	4.3399999999999995e-115	328.0
sp|O95487|SC24B_HUMAN	sp|P40482|SEC24_YEAST	34.031	764	2.81e-133	429.0
sp|O95544|NADK_HUMAN	sp|P32622|YEF1_YEAST	44.656	262	1.85e-74	239.0
sp|O95563|MPC2_HUMAN	sp|P53311|MPC3_YEAST	54.023	87	1.8899999999999999e-28	99.8
sp|O95568|MET18_HUMAN	sp|P40481|HPM1_YEAST	30.916	262	6.94e-17	79.3
sp|O95602|RPA1_HUMAN	sp|P10964|RPA1_YEAST	36.821	1787	0.0	1099.0
sp|O95619|YETS4_HUMAN	sp|P53930|AF9_YEAST	33.482	224	7.32e-40	134.0
sp|O95620|DUS4L_HUMAN	sp|Q06063|DUS4_YEAST	41.479	311	4.87e-74	230.0
sp|O95628|CNOT4_HUMAN	sp|P34909|NOT4_YEAST	45.306	245	4.08e-67	226.0
sp|O95639|CPSF4_HUMAN	sp|Q06102|YTH1_YEAST	48.227	141	8.82e-41	138.0
sp|O95671|ASML_HUMAN	sp|Q99210|NTPPA_YEAST	34.862	218	6.12e-26	104.0
sp|O95685|PPR3D_HUMAN	sp|Q06216|PIG1_YEAST	26.471	136	1.27e-10	60.1
sp|O95707|RPP29_HUMAN	sp|P38336|POP4_YEAST	33.813	139	4.58e-15	70.5
sp|O95749|GGPPS_HUMAN	sp|Q12051|GGPPS_YEAST	43.841	276	8.31e-72	223.0
sp|O95759|TBCD8_HUMAN	sp|P53258|GYP2_YEAST	29.319	631	5.990000000000001e-73	260.0
sp|O95801|CNS1_HUMAN	sp|P33313|CNS1_YEAST	27.832	309	1.08e-21	93.6
sp|O96017|CHK2_HUMAN	sp|P22216|RAD53_YEAST	33.806	423	2.59e-63	219.0
sp|P00156|CYB_HUMAN	sp|P00163|CYB_YEAST	50.269	372	1.4900000000000002e-129	375.0
sp|P00374|DYR_HUMAN	sp|P07807|DYR_YEAST	30.769	208	3.38e-19	79.3
sp|P00390|GSHR_HUMAN	sp|P41921|GSHR_YEAST	50.531	471	1.2899999999999998e-147	430.0
sp|P00395|COX1_HUMAN	sp|P00401|COX1_YEAST	56.9	529	0.0	601.0
sp|P00403|COX2_HUMAN	sp|P00410|COX2_YEAST	44.091	220	2.25e-65	201.0
sp|P00414|COX3_HUMAN	sp|P00420|COX3_YEAST	43.846	260	8.31e-78	234.0
sp|P00441|SODC_HUMAN	sp|P00445|SODC_YEAST	56.0	150	8.789999999999999e-55	167.0
sp|P00480|OTC_HUMAN	sp|P05150|OTC_YEAST	40.446	314	6.74e-86	261.0
sp|P00491|PNPH_HUMAN	sp|Q05788|PNPH_YEAST	48.443	289	1.2099999999999999e-92	275.0
sp|P00558|PGK1_HUMAN	sp|P00560|PGK_YEAST	65.783	415	0.0	545.0
sp|P00813|ADA_HUMAN	sp|P53909|ADE_YEAST	26.087	345	1.89e-27	108.0
sp|P00846|ATP6_HUMAN	sp|P00854|ATP6_YEAST	35.577	208	2.13e-32	116.0
sp|P00966|ASSY_HUMAN	sp|P22768|ASSY_YEAST	50.739	406	1.27e-151	434.0
sp|P02730|B3AT_HUMAN	sp|P53838|BOR1_YEAST	25.051	491	5.6399999999999996e-40	154.0
sp|P04035|HMDH_HUMAN	sp|P12683|HMDH1_YEAST	58.581	437	7.08e-166	509.0
sp|P04040|CATA_HUMAN	sp|P15202|CATA_YEAST	49.796	490	1.53e-159	462.0
sp|P04179|SODM_HUMAN	sp|P00447|SODM_YEAST	46.083	217	6.67e-61	188.0
sp|P04180|LCAT_HUMAN	sp|P40345|PDAT_YEAST	24.537	432	3.87e-14	72.4
sp|P04181|OAT_HUMAN	sp|P07991|OAT_YEAST	53.012	415	3.98e-143	413.0
sp|P04406|G3P_HUMAN	sp|P00359|G3P3_YEAST	65.046	329	1.11e-162	455.0
sp|P04424|ARLY_HUMAN	sp|P04076|ARLY_YEAST	54.212	463	0.0	515.0
sp|P04818|TYSY_HUMAN	sp|P06785|TYSY_YEAST	62.373	295	6.58e-132	375.0
sp|P04839|CY24B_HUMAN	sp|Q12333|FRE7_YEAST	22.295	305	6.26e-07	50.1
sp|P04843|RPN1_HUMAN	sp|P41543|OST1_YEAST	26.86	484	1.14e-44	163.0
sp|P05089|ARGI1_HUMAN	sp|P00812|ARGI_YEAST	42.188	320	1.26e-70	220.0
sp|P05198|IF2A_HUMAN	sp|P20459|IF2A_YEAST	53.691	298	3.1e-107	313.0
sp|P05386|RLA1_HUMAN	sp|P05318|RLA1_YEAST	43.636	110	4.98e-12	55.8
sp|P05387|RLA2_HUMAN	sp|P02400|RLA4_YEAST	47.414	116	1.98e-21	80.1
sp|P05388|RLA0_HUMAN	sp|P05317|RLA0_YEAST	54.87	308	7.23e-102	299.0
sp|P05423|RPC4_HUMAN	sp|P25441|RPC4_YEAST	31.25	64	5.37e-07	49.3
sp|P06132|DCUP_HUMAN	sp|P32347|DCUP_YEAST	51.966	356	4.78e-128	370.0
sp|P06576|ATPB_HUMAN	sp|P00830|ATPB_YEAST	78.39	472	0.0	744.0
sp|P06730|IF4E_HUMAN	sp|P07260|IF4E_YEAST	38.182	165	1.11e-37	128.0
sp|P06737|PYGL_HUMAN	sp|P06738|PHSG_YEAST	49.291	846	0.0	749.0
sp|P06744|G6PI_HUMAN	sp|P12709|G6PI_YEAST	57.923	549	0.0	652.0
sp|P07108|ACBP_HUMAN	sp|P31787|ACBP_YEAST	50.617	81	1.7099999999999998e-23	83.6
sp|P07305|H10_HUMAN	sp|P53551|H1_YEAST	34.951	103	6.22e-07	46.2
sp|P07339|CATD_HUMAN	sp|P07267|CARP_YEAST	43.562	365	9.15e-97	293.0
sp|P07741|APT_HUMAN	sp|P49435|APT1_YEAST	47.305	167	1.4199999999999999e-42	139.0
sp|P07814|SYEP_HUMAN	sp|P38708|YHI0_YEAST	58.498	506	0.0	612.0
sp|P07900|HS90A_HUMAN	sp|P02829|HSP82_YEAST	60.694	720	0.0	829.0
sp|P07902|GALT_HUMAN	sp|P08431|GAL7_YEAST	45.205	365	1.37e-113	333.0
sp|P07910|HNRPC_HUMAN	sp|P38996|NAB3_YEAST	34.444	90	6.62e-10	57.8
sp|P07954|FUMH_HUMAN	sp|P08417|FUMH_YEAST	66.597	479	0.0	650.0
sp|P07992|ERCC1_HUMAN	sp|P06838|RAD10_YEAST	28.962	183	1.86e-17	77.4
sp|P08183|MDR1_HUMAN	sp|P12866|STE6_YEAST	27.113	1313	2.01e-139	456.0
sp|P08240|SRPRA_HUMAN	sp|P32916|SRPR_YEAST	38.075	478	4.07e-85	277.0
sp|P08243|ASNS_HUMAN	sp|P49090|ASNS2_YEAST	36.125	609	1.69e-95	300.0
sp|P08397|HEM3_HUMAN	sp|P28789|HEM3_YEAST	39.233	339	1.2e-78	242.0
sp|P08574|CY1_HUMAN	sp|P07143|CY1_YEAST	52.982	285	1.49e-105	309.0
sp|P08621|RU17_HUMAN	sp|Q00916|RU17_YEAST	32.461	191	1.9e-19	86.3
sp|P08708|RS17_HUMAN	sp|P02407|RS17A_YEAST	67.257	113	7.62e-51	156.0
sp|P08865|RSSA_HUMAN	sp|P32905|RSSA1_YEAST	61.692	201	4.57e-93	274.0
sp|P09001|RM03_HUMAN	sp|P31334|RM09_YEAST	40.758	211	9.59e-41	142.0
sp|P09012|SNRPA_HUMAN	sp|P40567|MSL1_YEAST	31.915	94	1.2e-14	66.6
sp|P09110|THIK_HUMAN	sp|P27796|THIK_YEAST	51.276	431	4.18e-129	377.0
sp|P09132|SRP19_HUMAN	sp|P29478|SEC65_YEAST	34.568	81	4.11e-09	51.6
sp|P09234|RU1C_HUMAN	sp|Q05900|RU1C_YEAST	44.231	52	4.18e-11	57.0
sp|P09429|HMGB1_HUMAN	sp|P11633|NHP6B_YEAST	44.048	84	5.17e-18	74.3
sp|P09601|HMOX1_HUMAN	sp|P32339|HMX1_YEAST	21.963	214	6.73e-09	53.9
sp|P09622|DLDH_HUMAN	sp|P09624|DLDH_YEAST	57.384	474	0.0	539.0
sp|P09661|RU2A_HUMAN	sp|Q08963|RU2A_YEAST	27.604	192	2.09e-08	51.6
sp|P09884|DPOLA_HUMAN	sp|P13382|DPOLA_YEAST	36.496	1096	0.0	645.0
sp|P09960|LKHA4_HUMAN	sp|Q10740|LKHA4_YEAST	40.325	615	1.4e-145	435.0
sp|P0C024|NUDT7_HUMAN	sp|Q12524|PCD1_YEAST	30.0	150	3.89e-10	57.0
sp|P0CG48|UBC_HUMAN	sp|P0CG63|UBI4P_YEAST	96.053	380	0.0	725.0
sp|P0DI82|TPC2B_HUMAN	sp|P38334|TRS20_YEAST	33.529	170	9.53e-29	101.0
sp|P0DP25|CALM3_HUMAN	sp|P06787|CALM_YEAST	59.864	147	5.880000000000001e-66	195.0
sp|P0DPB6|RPAC2_HUMAN	sp|P28000|RPAC2_YEAST	45.378	119	2.71e-33	112.0
sp|P10515|ODP2_HUMAN	sp|P12695|ODP2_YEAST	44.396	455	4.25e-117	356.0
sp|P10599|THIO_HUMAN	sp|P22803|TRX2_YEAST	49.505	101	1.0800000000000001e-31	105.0
sp|P10606|COX5B_HUMAN	sp|P04037|COX4_YEAST	36.458	96	1.53e-11	56.2
sp|P10619|PPGB_HUMAN	sp|P38109|ATG42_YEAST	30.303	462	2.8e-55	190.0
sp|P10696|PPBN_HUMAN	sp|P11491|PPB_YEAST	31.831	355	3.5600000000000004e-33	131.0
sp|P10746|HEM4_HUMAN	sp|P06174|HEM4_YEAST	26.071	280	9.8e-15	70.1
sp|P10768|ESTD_HUMAN	sp|P40363|SFGH_YEAST	38.721	297	1.5e-63	200.0
sp|P10809|CH60_HUMAN	sp|P19882|HSP60_YEAST	56.983	537	0.0	593.0
sp|P11021|BIP_HUMAN	sp|P16474|BIP_YEAST	68.821	619	0.0	859.0
sp|P11142|HSP7C_HUMAN	sp|P09435|HSP73_YEAST	73.416	647	0.0	976.0
sp|P11166|GTR1_HUMAN	sp|P38142|YB91_YEAST	29.814	483	4.4399999999999994e-61	206.0
sp|P11172|UMPS_HUMAN	sp|P03962|PYRF_YEAST	51.6	250	5.63e-81	250.0
sp|P11177|ODPB_HUMAN	sp|P32473|ODPB_YEAST	62.195	328	1.17e-152	432.0
sp|P11413|G6PD_HUMAN	sp|P11412|G6PD_YEAST	47.853	489	1.1e-155	451.0
sp|P11498|PYC_HUMAN	sp|P32327|PYC2_YEAST	53.64	1154	0.0	1222.0
sp|P11586|C1TC_HUMAN	sp|P07245|C1TC_YEAST	57.55	947	0.0	1030.0
sp|P11717|MPRI_HUMAN	sp|Q06815|MRL1_YEAST	26.471	170	1e-06	51.6
sp|P11766|ADHX_HUMAN	sp|P32771|FADH_YEAST	63.172	372	4.2899999999999996e-172	483.0
sp|P11831|SRF_HUMAN	sp|P11746|MCM1_YEAST	64.286	84	4.21e-32	122.0
sp|P11908|PRPS2_HUMAN	sp|P38063|KPR4_YEAST	62.893	318	2.1400000000000002e-144	408.0
sp|P11926|DCOR_HUMAN	sp|P08432|DCOR_YEAST	44.828	406	8.57e-111	333.0
sp|P11940|PABP1_HUMAN	sp|P04147|PABP_YEAST	59.947	377	6.15e-163	477.0
sp|P12004|PCNA_HUMAN	sp|P15873|PCNA_YEAST	35.521	259	1.43e-64	200.0
sp|P12074|CX6A1_HUMAN	sp|P32799|COX13_YEAST	38.636	88	1.7e-13	60.1
sp|P12081|HARS1_HUMAN	sp|P07263|SYH_YEAST	52.268	463	2.99e-166	479.0
sp|P12236|ADT3_HUMAN	sp|P18238|ADT3_YEAST	53.667	300	1.49e-104	305.0
sp|P12270|TPR_HUMAN	sp|Q02455|MLP1_YEAST	24.896	719	6.78e-28	122.0
sp|P12955|PEPD_HUMAN	sp|P43590|YFH6_YEAST	33.038	451	9.49e-72	235.0
sp|P12956|XRCC6_HUMAN	sp|P32807|KU70_YEAST	21.402	528	5.39e-10	60.1
sp|P13051|UNG_HUMAN	sp|P12887|UNG_YEAST	41.796	323	3.8199999999999996e-74	230.0
sp|P13639|EF2_HUMAN	sp|P32324|EF2_YEAST	66.2	858	0.0	1186.0
sp|P13667|PDIA4_HUMAN	sp|P17967|PDI_YEAST	31.663	499	6.840000000000001e-59	204.0
sp|P13693|TCTP_HUMAN	sp|P35691|TCTP_YEAST	42.105	171	1.56e-43	140.0
sp|P13716|HEM2_HUMAN	sp|P05373|HEM2_YEAST	53.191	329	1.54e-123	356.0
sp|P13797|PLST_HUMAN	sp|P32599|FIMB_YEAST	38.949	647	1.14e-142	427.0
sp|P13804|ETFA_HUMAN	sp|Q12480|ETFA_YEAST	46.064	343	8.72e-95	283.0
sp|P13807|GYS1_HUMAN	sp|P23337|GYS1_YEAST	55.338	665	0.0	728.0
sp|P13861|KAP2_HUMAN	sp|P07278|KAPR_YEAST	41.017	295	6.839999999999999e-68	219.0
sp|P13929|ENOB_HUMAN	sp|P00924|ENO1_YEAST	63.741	433	0.0	568.0
sp|P13984|T2FB_HUMAN	sp|P41896|T2FB_YEAST	27.389	157	8.57e-10	56.2
sp|P14314|GLU2B_HUMAN	sp|Q04924|GLU2B_YEAST	36.842	133	5.56e-18	85.1
sp|P14324|FPPS_HUMAN	sp|P08524|ERG20_YEAST	45.376	346	4.0800000000000004e-103	308.0
sp|P14550|AK1A1_HUMAN	sp|P14065|GCY1_YEAST	41.584	303	1.1800000000000001e-73	228.0
sp|P14618|KPYM_HUMAN	sp|P00549|KPYK1_YEAST	52.041	490	1.7399999999999999e-171	492.0
sp|P14678|RSMB_HUMAN	sp|P40018|RSMB_YEAST	45.918	98	7.79e-22	87.4
sp|P14735|IDE_HUMAN	sp|Q06010|STE23_YEAST	38.653	965	0.0	714.0
sp|P14854|CX6B1_HUMAN	sp|Q01519|COX12_YEAST	46.575	73	1.7599999999999997e-23	83.6
sp|P14868|SYDC_HUMAN	sp|P04802|SYDC_YEAST	56.66	503	0.0	560.0
sp|P14927|QCR7_HUMAN	sp|P00128|QCR7_YEAST	38.776	98	1.18e-16	68.2
sp|P15104|GLNA_HUMAN	sp|P32288|GLNA_YEAST	56.196	347	5.489999999999999e-147	418.0
sp|P15259|PGAM2_HUMAN	sp|P00950|PMG1_YEAST	52.227	247	6.53e-88	259.0
sp|P15374|UCHL3_HUMAN	sp|P35127|UBL1_YEAST	34.896	192	3.0199999999999998e-30	110.0
sp|P15880|RS2_HUMAN	sp|P25443|RS2_YEAST	61.29	217	1.6499999999999998e-94	278.0
sp|P15927|RFA2_HUMAN	sp|P26754|RFA2_YEAST	27.113	284	6.42e-19	82.0
sp|P16104|H2AX_HUMAN	sp|P04911|H2A1_YEAST	75.591	127	3.9600000000000005e-64	190.0
sp|P16260|GDC_HUMAN	sp|P38702|LEU5_YEAST	37.309	327	9.9e-66	209.0
sp|P16435|NCPR_HUMAN	sp|P16603|NCPR_YEAST	33.731	670	2.0200000000000002e-103	328.0
sp|P16455|MGMT_HUMAN	sp|P26188|MGMT_YEAST	40.0	80	7.77e-12	59.7
sp|P17174|AATC_HUMAN	sp|P23542|AATC_YEAST	46.602	412	2.46e-126	369.0
sp|P17544|ATF7_HUMAN	sp|P39970|ACA1_YEAST	27.66	94	1.34e-06	48.5
sp|P17707|DCAM_HUMAN	sp|P21182|DCAM_YEAST	30.667	375	2.45e-44	154.0
sp|P17812|PYRG1_HUMAN	sp|P28274|URA7_YEAST	58.73	567	0.0	684.0
sp|P17844|DDX5_HUMAN	sp|P24783|DBP2_YEAST	58.562	473	0.0	575.0
sp|P17858|PFKAL_HUMAN	sp|P16862|PFKA2_YEAST	44.782	757	0.0	631.0
sp|P17980|PRS6A_HUMAN	sp|P33297|PRS6A_YEAST	69.451	419	0.0	617.0
sp|P17987|TCPA_HUMAN	sp|P12612|TCPA_YEAST	63.486	545	0.0	699.0
sp|P18074|ERCC2_HUMAN	sp|P06839|RAD3_YEAST	53.012	747	0.0	835.0
sp|P18077|RL35A_HUMAN	sp|P41056|RL33B_YEAST	51.376	109	1.27e-32	108.0
sp|P18124|RL7_HUMAN	sp|P05737|RL7A_YEAST	55.072	207	2.29e-83	247.0
sp|P18621|RL17_HUMAN	sp|P46990|RL17B_YEAST	58.025	162	6.579999999999999e-69	206.0
sp|P18754|RCC1_HUMAN	sp|P21827|RCC1_YEAST	27.214	463	6.0700000000000004e-43	155.0
sp|P18858|DNLI1_HUMAN	sp|P04819|DNLI1_YEAST	40.68	735	0.0	553.0
sp|P19387|RPB3_HUMAN	sp|P16370|RPB3_YEAST	45.556	270	2.1699999999999998e-74	228.0
sp|P19388|RPAB1_HUMAN	sp|P20434|RPAB1_YEAST	43.578	218	5.5e-60	185.0
sp|P19440|GGT1_HUMAN	sp|Q05902|ECM38_YEAST	31.317	562	9.92e-68	229.0
sp|P19447|ERCC3_HUMAN	sp|Q00578|RAD25_YEAST	56.379	729	0.0	816.0
sp|P19623|SPEE_HUMAN	sp|Q12074|SPEE_YEAST	57.692	286	1.7900000000000003e-132	376.0
sp|P20042|IF2B_HUMAN	sp|P09064|IF2B_YEAST	46.581	234	1.9600000000000002e-56	183.0
sp|P20132|SDHL_HUMAN	sp|P25379|STDH_YEAST	35.671	328	3.58e-57	187.0
sp|P20226|TBP_HUMAN	sp|P13393|TBP_YEAST	77.32	194	2.44e-111	322.0
sp|P20264|PO3F3_HUMAN	sp|P34161|YOX1_YEAST	34.043	94	2.36e-08	53.9
sp|P20340|RAB6A_HUMAN	sp|Q99260|YPT6_YEAST	59.535	215	4.1e-89	259.0
sp|P20585|MSH3_HUMAN	sp|P25336|MSH3_YEAST	34.423	918	1.4199999999999999e-142	454.0
sp|P20618|PSB1_HUMAN	sp|P23724|PSB6_YEAST	45.652	230	1.94e-68	209.0
sp|P20674|COX5A_HUMAN	sp|P00427|COX6_YEAST	36.054	147	2.5e-20	79.7
sp|P20839|IMDH1_HUMAN	sp|P50094|IMDH4_YEAST	62.549	510	0.0	660.0
sp|P21281|VATB2_HUMAN	sp|P16140|VATB_YEAST	80.679	471	0.0	795.0
sp|P21283|VATC1_HUMAN	sp|P31412|VATC_YEAST	38.529	340	1.11e-71	227.0
sp|P21359|NF1_HUMAN	sp|P18963|IRA1_YEAST	22.036	1611	1.95e-58	223.0
sp|P21549|AGT1_HUMAN	sp|P43567|AGX1_YEAST	26.431	367	5.3700000000000006e-21	91.7
sp|P21675|TAF1_HUMAN	sp|P46677|TAF1_YEAST	29.319	573	1.2100000000000002e-59	223.0
sp|P21695|GPDA_HUMAN	sp|Q00055|GPD1_YEAST	49.267	341	5.6e-113	332.0
sp|P21912|SDHB_HUMAN	sp|P21801|SDHB_YEAST	73.191	235	1.0200000000000001e-132	374.0
sp|P22059|OSBP1_HUMAN	sp|P35845|OSH1_YEAST	40.541	407	5.89e-82	283.0
sp|P22087|FBRL_HUMAN	sp|P15646|FBRL_YEAST	70.763	236	3.44e-124	357.0
sp|P22102|PUR2_HUMAN	sp|P07244|PUR2_YEAST	45.044	797	0.0	698.0
sp|P22234|PUR6_HUMAN	sp|P27616|PUR7_YEAST	23.346	257	3.31e-08	52.8
sp|P22314|UBA1_HUMAN	sp|P22515|UBA1_YEAST	52.473	1031	0.0	1094.0
sp|P22392|NDKB_HUMAN	sp|P36010|NDK_YEAST	60.265	151	1.2599999999999999e-68	202.0
sp|P22557|HEM0_HUMAN	sp|P09950|HEM1_YEAST	43.662	426	2.32e-130	390.0
sp|P22570|ADRO_HUMAN	sp|P48360|ADRO_YEAST	34.731	501	7.91e-78	249.0
sp|P22694|KAPCB_HUMAN	sp|P06245|KAPB_YEAST	53.185	314	2.01e-123	358.0
sp|P22830|HEMH_HUMAN	sp|P16622|HEMH_YEAST	51.304	345	1.3000000000000002e-124	364.0
sp|P23025|XPA_HUMAN	sp|P28519|RAD14_YEAST	30.682	176	8.78e-13	65.5
sp|P23193|TCEA1_HUMAN	sp|P07273|TFS2_YEAST	33.229	319	3.0499999999999997e-40	140.0
sp|P23284|PPIB_HUMAN	sp|P35176|CYPD_YEAST	53.535	198	5.97e-72	216.0
sp|P23378|GCSP_HUMAN	sp|P49095|GCSP_YEAST	52.778	972	0.0	1011.0
sp|P23381|SYWC_HUMAN	sp|Q12109|SYWC_YEAST	54.798	396	6.1800000000000005e-161	460.0
sp|P23396|RS3_HUMAN	sp|P05750|RS3_YEAST	65.975	241	5.37e-109	311.0
sp|P23434|GCSH_HUMAN	sp|P39726|GCSH_YEAST	47.059	119	9.81e-33	112.0
sp|P23511|NFYA_HUMAN	sp|P06774|HAP2_YEAST	56.044	91	2.02e-25	101.0
sp|P23526|SAHH_HUMAN	sp|P39954|SAHH_YEAST	71.041	442	0.0	636.0
sp|P23528|COF1_HUMAN	sp|Q03048|COFI_YEAST	37.762	143	1.3e-29	103.0
sp|P23588|IF4B_HUMAN	sp|P34167|IF4B_YEAST	32.184	87	1.43e-09	58.5
sp|P23634|AT2B4_HUMAN	sp|P38929|ATC2_YEAST	40.338	533	1.18e-101	348.0
sp|P23786|CPT2_HUMAN	sp|P80235|CACM_YEAST	30.074	675	3.63e-80	266.0
sp|P23919|KTHY_HUMAN	sp|P00572|KTHY_YEAST	50.595	168	1.3e-50	161.0
sp|P23921|RIR1_HUMAN	sp|P21672|RIR3_YEAST	66.711	760	0.0	1124.0
sp|P24043|LAMA2_HUMAN	sp|P32380|SP110_YEAST	22.925	506	1.86e-13	74.7
sp|P24534|EF1B_HUMAN	sp|P32471|EF1B_YEAST	47.345	226	5.64e-44	144.0
sp|P24539|AT5F1_HUMAN	sp|P05626|ATPF_YEAST	25.478	157	7.93e-10	55.8
sp|P24666|PPAC_HUMAN	sp|P40347|PPAL_YEAST	42.405	158	1.34e-39	129.0
sp|P24752|THIL_HUMAN	sp|P41338|ERG10_YEAST	48.492	398	1.24e-122	360.0
sp|P24863|CCNC_HUMAN	sp|P47821|SSN8_YEAST	28.254	315	1.2e-33	123.0
sp|P24928|RPB1_HUMAN	sp|P04050|RPB1_YEAST	49.908	1633	0.0	1555.0
sp|P25205|MCM3_HUMAN	sp|P24279|MCM3_YEAST	49.858	702	0.0	593.0
sp|P25208|NFYB_HUMAN	sp|P13434|HAP3_YEAST	53.906	128	1.49e-44	143.0
sp|P25325|THTM_HUMAN	sp|Q08686|THTR_YEAST	36.879	282	2.89e-48	161.0
sp|P25398|RS12_HUMAN	sp|P48589|RS12_YEAST	54.701	117	1.28e-31	107.0
sp|P25705|ATPA_HUMAN	sp|P07251|ATPA_YEAST	73.767	507	0.0	776.0
sp|P25786|PSA1_HUMAN	sp|P40302|PSA6_YEAST	52.766	235	1.2400000000000001e-85	253.0
sp|P25787|PSA2_HUMAN	sp|P23639|PSA2_YEAST	57.769	251	1.3200000000000001e-88	260.0
sp|P25788|PSA3_HUMAN	sp|P21242|PSA7_YEAST	51.613	248	1.12e-85	255.0
sp|P25789|PSA4_HUMAN	sp|P23638|PSA3_YEAST	53.333	240	1.3199999999999999e-92	271.0
sp|P26196|DDX6_HUMAN	sp|P39517|DHH1_YEAST	68.657	402	0.0	592.0
sp|P26373|RL13_HUMAN	sp|Q12690|RL13A_YEAST	47.179	195	1.16e-45	148.0
sp|P26639|SYTC_HUMAN	sp|P04801|SYTC_YEAST	56.812	690	0.0	811.0
sp|P26640|SYVC_HUMAN	sp|P07806|SYV_YEAST	50.152	989	0.0	986.0
sp|P26641|EF1G_HUMAN	sp|P36008|EF1G2_YEAST	31.707	451	2.39e-62	205.0
sp|P26885|FKBP2_HUMAN	sp|P32472|FKBP2_YEAST	58.182	110	3.87e-38	124.0
sp|P27449|VATL_HUMAN	sp|P25515|VATL1_YEAST	71.622	148	2.81e-72	212.0
sp|P27487|DPP4_HUMAN	sp|P18962|DAP2_YEAST	31.907	771	7.800000000000001e-100	325.0
sp|P27635|RL10_HUMAN	sp|P41805|RL10_YEAST	67.15	207	3.16e-103	295.0
sp|P27694|RFA1_HUMAN	sp|P22336|RFA1_YEAST	32.381	630	2.0700000000000001e-109	340.0
sp|P27708|PYR1_HUMAN	sp|P07259|PYR1_YEAST	49.956	2282	0.0	2185.0
sp|P27824|CALX_HUMAN	sp|P27825|CALX_YEAST	30.501	459	1.24e-58	202.0
sp|P28066|PSA5_HUMAN	sp|P32379|PSA5_YEAST	60.905	243	1.14e-99	289.0
sp|P28070|PSB4_HUMAN	sp|P30657|PSB7_YEAST	43.103	232	1.61e-63	198.0
sp|P28072|PSB6_HUMAN	sp|P38624|PSB1_YEAST	54.95	202	2.02e-80	238.0
sp|P28074|PSB5_HUMAN	sp|P30656|PSB5_YEAST	66.829	205	4.7e-97	284.0
sp|P28328|PEX2_HUMAN	sp|P32800|PEX2_YEAST	21.528	288	1.84e-07	49.3
sp|P28340|DPOD1_HUMAN	sp|P15436|DPOD_YEAST	48.883	1074	0.0	1037.0
sp|P28347|TEAD1_HUMAN	sp|P18412|TEC1_YEAST	36.19	105	7.48e-12	64.7
sp|P28370|SMCA1_HUMAN	sp|Q08773|ISW2_YEAST	50.299	1002	0.0	968.0
sp|P28482|MK01_HUMAN	sp|P16892|FUS3_YEAST	50.712	351	1.88e-122	355.0
sp|P28715|ERCC5_HUMAN	sp|P07276|RAD2_YEAST	37.943	282	5.6e-50	191.0
sp|P28845|DHI1_HUMAN	sp|P40579|NRE1_YEAST	28.39	236	5.49e-17	76.6
sp|P29083|T2EA_HUMAN	sp|P36100|T2EA_YEAST	29.717	212	4.4400000000000004e-29	117.0
